               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-20 10:15:00	18.539	7.672
           2020-07-20 10:25:00	18.387	7.771
           2020-07-20 10:35:00	18.286	7.797
           2020-07-20 10:45:00	18.286	7.882
           2020-07-20 10:55:00	18.202	7.925
           2020-07-20 11:05:00	18.236	7.942
           2020-07-20 11:15:00	18.295	7.941
           2020-07-20 11:25:00	18.37	7.967
           2020-07-20 11:35:00	18.455	7.984
           2020-07-20 11:45:00	18.497	8.039
           2020-07-20 11:55:00	18.573	8.033
           2020-07-20 12:05:00	18.615	8.045
           2020-07-20 12:15:00	18.648	8.054
           2020-07-20 12:25:00	18.716	8.067
           2020-07-20 12:35:00	18.775	8.069
           2020-07-20 12:45:00	18.817	8.097
           2020-07-20 12:55:00	18.859	8.106
           2020-07-20 13:05:00	18.934	8.105
           2020-07-20 13:15:00	18.943	8.128
           2020-07-20 13:25:00	18.96	8.113
           2020-07-20 13:35:00	19.01	8.116
           2020-07-20 13:45:00	19.044	8.124
           2020-07-20 13:55:00	19.077	8.13
           2020-07-20 14:05:00	19.136	8.129
           2020-07-20 14:15:00	19.144	8.131
           2020-07-20 14:25:00	19.203	8.118
           2020-07-20 14:35:00	19.228	8.121
           2020-07-20 14:45:00	19.245	8.121
           2020-07-20 14:55:00	19.296	8.114
           2020-07-20 15:05:00	19.329	8.135
           2020-07-20 15:15:00	19.321	8.122
           2020-07-20 15:25:00	19.38	8.127
           2020-07-20 15:35:00	19.405	8.108
           2020-07-20 15:45:00	19.422	8.115
           2020-07-20 15:55:00	19.43	8.11
           2020-07-20 16:05:00	19.455	8.078
           2020-07-20 16:15:00	19.43	8.082
           2020-07-20 16:25:00	19.363	8.063
           2020-07-20 16:35:00	19.354	8.05
           2020-07-20 16:45:00	19.354	8.026
           2020-07-20 16:55:00	19.321	8.021
           2020-07-20 17:05:00	19.321	7.981
           2020-07-20 17:15:00	19.312	7.98
           2020-07-20 17:25:00	19.312	7.95
           2020-07-20 17:35:00	19.321	7.94
           2020-07-20 17:45:00	19.321	7.918
           2020-07-20 17:55:00	19.312	7.891
           2020-07-20 18:05:00	19.329	7.877
           2020-07-20 18:15:00	19.287	7.841
           2020-07-20 18:25:00	19.287	7.811
           2020-07-20 18:35:00	19.27	7.784
           2020-07-20 18:45:00	19.296	7.75
           2020-07-20 18:55:00	19.304	7.723
           2020-07-20 19:05:00	19.279	7.689
           2020-07-20 19:15:00	19.279	7.651
           2020-07-20 19:25:00	19.287	7.624
           2020-07-20 19:35:00	19.279	7.585
           2020-07-20 19:45:00	19.279	7.555
           2020-07-20 19:55:00	19.27	7.517
           2020-07-20 20:05:00	19.262	7.476
           2020-07-20 20:15:00	19.262	7.442
           2020-07-20 20:25:00	19.254	7.417
           2020-07-20 20:35:00	19.27	7.388
           2020-07-20 20:45:00	19.262	7.378
           2020-07-20 20:55:00	19.245	7.345
