               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-22 14:39:00	18.682	9.143
           2020-07-22 14:49:00	18.632	9.097
           2020-07-22 14:59:00	18.581	9.069
           2020-07-22 15:09:00	18.547	9.083
           2020-07-22 15:19:00	18.488	9.043
           2020-07-22 15:29:00	18.421	9.008
           2020-07-22 15:39:00	18.362	8.955
           2020-07-22 15:49:00	18.295	8.893
           2020-07-22 15:59:00	18.185	8.848
           2020-07-22 16:09:00	18.143	8.769
           2020-07-22 16:19:00	18.025	8.713
           2020-07-22 16:29:00	17.974	8.629
           2020-07-22 16:39:00	17.856	8.553
           2020-07-22 16:49:00	17.755	8.473
           2020-07-22 16:59:00	17.704	8.401
           2020-07-22 17:09:00	17.662	8.341
           2020-07-22 17:19:00	17.577	8.282
           2020-07-22 17:29:00	17.535	8.224
           2020-07-22 17:39:00	17.459	8.162
           2020-07-22 17:49:00	17.366	8.116
           2020-07-22 17:59:00	17.323	8.065
           2020-07-22 18:09:00	17.281	8.025
           2020-07-22 18:19:00	17.255	7.975
           2020-07-22 18:29:00	17.205	7.897
           2020-07-22 18:39:00	17.128	7.834
           2020-07-22 18:49:00	17.077	7.76
           2020-07-22 18:59:00	17.01	7.693
           2020-07-22 19:09:00	16.976	7.623
           2020-07-22 19:19:00	16.916	7.551
           2020-07-22 19:29:00	16.882	7.483
           2020-07-22 19:39:00	16.814	7.415
           2020-07-22 19:49:00	16.763	7.356
           2020-07-22 19:59:00	16.695	7.28
           2020-07-22 20:09:00	16.653	7.224
           2020-07-22 20:19:00	16.602	7.165
           2020-07-22 20:29:00	16.551	7.12
           2020-07-22 20:39:00	16.491	7.075
           2020-07-22 20:49:00	16.466	7.036
           2020-07-22 20:59:00	16.406	7.005
           2020-07-22 21:09:00	16.381	6.928
           2020-07-22 21:19:00	16.363	6.993
           2020-07-22 21:29:00	16.329	7.009
           2020-07-22 21:39:00	16.287	6.996
           2020-07-22 21:49:00	16.236	6.974
           2020-07-22 21:59:00	16.21	6.969
           2020-07-22 22:09:00	16.159	6.998
           2020-07-22 22:19:00	16.116	7.024
           2020-07-22 22:29:00	16.099	7.032
           2020-07-22 22:39:00	16.065	7.028
           2020-07-22 22:49:00	16.005	7.054
           2020-07-22 22:59:00	15.988	7.071
           2020-07-22 23:09:00	15.911	7.087
           2020-07-22 23:19:00	15.894	7.118
           2020-07-22 23:29:00	15.886	7.025
           2020-07-22 23:39:00	15.886	7.113
           2020-07-22 23:49:00	15.851	7.145
           2020-07-22 23:59:00	15.817	7.135
           2020-07-23 00:09:00	15.809	7.142
           2020-07-23 00:19:00	15.757	7.166
           2020-07-23 00:29:00	15.74	7.197
           2020-07-23 00:39:00	15.723	7.193
           2020-07-23 00:49:00	15.689	7.201
           2020-07-23 00:59:00	15.672	7.193
           2020-07-23 01:09:00	15.655	7.213
           2020-07-23 01:19:00	15.629	7.22
           2020-07-23 01:29:00	15.612	7.215
           2020-07-23 01:39:00	15.595	7.21
           2020-07-23 01:49:00	15.552	7.232
           2020-07-23 01:59:00	15.526	7.231
           2020-07-23 02:09:00	15.509	7.245
           2020-07-23 02:19:00	15.5	7.24
           2020-07-23 02:29:00	15.483	7.254
           2020-07-23 02:39:00	15.475	7.26
           2020-07-23 02:49:00	15.457	7.266
           2020-07-23 02:59:00	15.44	7.264
           2020-07-23 03:09:00	15.406	7.267
           2020-07-23 03:19:00	15.406	7.259
           2020-07-23 03:29:00	15.389	7.269
           2020-07-23 03:39:00	15.389	7.27
           2020-07-23 03:49:00	15.363	7.283
           2020-07-23 03:59:00	15.337	7.273
           2020-07-23 04:09:00	15.32	7.292
           2020-07-23 04:19:00	15.311	7.287
           2020-07-23 04:29:00	15.303	7.279
           2020-07-23 04:39:00	15.268	7.294
           2020-07-23 04:49:00	15.243	7.302
           2020-07-23 04:59:00	15.234	7.301
           2020-07-23 05:09:00	15.234	7.294
           2020-07-23 05:19:00	15.226	7.311
           2020-07-23 05:29:00	15.217	7.321
           2020-07-23 05:39:00	15.165	7.35
           2020-07-23 05:49:00	15.183	7.363
           2020-07-23 05:59:00	15.157	7.4
           2020-07-23 06:09:00	15.148	7.467
           2020-07-23 06:19:00	15.165	7.514
           2020-07-23 06:29:00	15.174	7.567
           2020-07-23 06:39:00	15.165	7.641
           2020-07-23 06:49:00	15.191	7.711
           2020-07-23 06:59:00	15.234	7.787
           2020-07-23 07:09:00	15.243	7.863
           2020-07-23 07:19:00	15.26	7.905
           2020-07-23 07:29:00	15.311	7.97
           2020-07-23 07:39:00	15.346	8.041
           2020-07-23 07:49:00	15.389	8.133
           2020-07-23 07:59:00	15.449	8.21
           2020-07-23 08:09:00	15.509	8.289
           2020-07-23 08:19:00	15.552	8.344
           2020-07-23 08:29:00	15.603	8.381
           2020-07-23 08:39:00	15.646	8.428
           2020-07-23 08:49:00	15.706	8.49
           2020-07-23 08:59:00	15.757	8.557
           2020-07-23 09:09:00	15.826	8.637
           2020-07-23 09:19:00	15.945	8.685
           2020-07-23 09:29:00	16.039	8.762
           2020-07-23 09:39:00	16.142	8.819
           2020-07-23 09:49:00	16.244	8.894
           2020-07-23 09:59:00	16.389	8.948
           2020-07-23 10:09:00	16.508	8.999
           2020-07-23 10:19:00	16.661	9.063
           2020-07-23 10:29:00	16.797	9.126
           2020-07-23 10:39:00	16.916	9.167
           2020-07-23 10:49:00	17.061	9.201
           2020-07-23 10:59:00	17.171	9.229
           2020-07-23 11:09:00	17.298	9.269
           2020-07-23 11:19:00	17.45	9.302
           2020-07-23 11:29:00	17.543	9.343
           2020-07-23 11:39:00	17.679	9.352
           2020-07-23 11:49:00	17.797	9.377
           2020-07-23 11:59:00	17.907	9.395
           2020-07-23 12:09:00	17.999	9.423
           2020-07-23 12:19:00	18.101	9.404
           2020-07-23 12:29:00	18.21	9.4
           2020-07-23 12:39:00	18.278	9.4
           2020-07-23 12:49:00	18.379	9.387
           2020-07-23 12:59:00	18.429	9.38
           2020-07-23 13:09:00	18.514	9.35
           2020-07-23 13:19:00	18.581	9.335
           2020-07-23 13:29:00	18.606	9.303
           2020-07-23 13:39:00	18.674	9.265
           2020-07-23 13:49:00	18.724	9.244
           2020-07-23 13:59:00	18.741	9.218
           2020-07-23 14:09:00	18.766	9.174
           2020-07-23 14:19:00	18.783	9.141
           2020-07-23 14:29:00	18.8	9.107
           2020-07-23 14:39:00	18.825	9.049
           2020-07-23 14:49:00	18.783	9.02
           2020-07-23 14:59:00	18.749	8.983
           2020-07-23 15:09:00	18.732	8.936
           2020-07-23 15:19:00	18.682	8.894
           2020-07-23 15:29:00	18.623	8.857
           2020-07-23 15:39:00	18.581	8.787
           2020-07-23 15:49:00	18.514	8.739
           2020-07-23 15:59:00	18.446	8.694
           2020-07-23 16:09:00	18.37	8.637
           2020-07-23 16:19:00	18.295	8.569
           2020-07-23 16:29:00	18.193	8.495
           2020-07-23 16:39:00	18.109	8.427
           2020-07-23 16:49:00	18.016	8.322
           2020-07-23 16:59:00	17.957	8.261
           2020-07-23 17:09:00	17.864	8.208
           2020-07-23 17:19:00	17.814	8.146
           2020-07-23 17:29:00	17.763	8.089
           2020-07-23 17:39:00	17.704	8.034
           2020-07-23 17:49:00	17.628	7.991
           2020-07-23 17:59:00	17.577	7.953
           2020-07-23 18:09:00	17.526	7.916
           2020-07-23 18:19:00	17.493	7.853
           2020-07-23 18:29:00	17.433	7.79
           2020-07-23 18:39:00	17.366	7.706
           2020-07-23 18:49:00	17.306	7.627
           2020-07-23 18:59:00	17.23	7.555
           2020-07-23 19:09:00	17.188	7.489
           2020-07-23 19:19:00	17.086	7.436
           2020-07-23 19:29:00	17.044	7.362
           2020-07-23 19:39:00	16.976	7.269
           2020-07-23 19:49:00	16.908	7.203
           2020-07-23 19:59:00	16.857	7.133
           2020-07-23 20:09:00	16.789	7.081
           2020-07-23 20:19:00	16.738	7.045
           2020-07-23 20:29:00	16.678	6.998
           2020-07-23 20:39:00	16.602	6.981
           2020-07-23 20:49:00	16.576	6.956
           2020-07-23 20:59:00	16.525	6.945
           2020-07-23 21:09:00	16.474	6.935
           2020-07-23 21:19:00	16.432	6.939
           2020-07-23 21:29:00	16.381	6.944
           2020-07-23 21:39:00	16.338	6.957
           2020-07-23 21:49:00	16.295	6.947
           2020-07-23 21:59:00	16.253	6.964
           2020-07-23 22:09:00	16.219	6.958
           2020-07-23 22:19:00	16.176	6.956
           2020-07-23 22:29:00	16.142	6.948
           2020-07-23 22:39:00	16.082	6.93
           2020-07-23 22:49:00	16.014	6.938
           2020-07-23 22:59:00	15.988	6.943
           2020-07-23 23:09:00	15.962	6.964
           2020-07-23 23:19:00	15.894	6.98
           2020-07-23 23:29:00	15.868	7.011
           2020-07-23 23:39:00	15.826	7.035
           2020-07-23 23:49:00	15.791	7.051
           2020-07-23 23:59:00	15.74	7.077
           2020-07-24 00:09:00	15.689	7.078
           2020-07-24 00:19:00	15.663	7.09
           2020-07-24 00:29:00	15.612	7.104
           2020-07-24 00:39:00	15.56	7.116
           2020-07-24 00:49:00	15.552	7.118
           2020-07-24 00:59:00	15.517	7.129
           2020-07-24 01:09:00	15.466	7.15
