               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-10 12:15:00	18.146	8.593
           2020-07-10 12:25:00	18.138	8.599
           2020-07-10 12:35:00	18.18	8.583
           2020-07-10 12:45:00	18.265	8.56
           2020-07-10 12:55:00	18.34	8.549
           2020-07-10 13:05:00	18.4	8.549
           2020-07-10 13:15:00	18.501	8.52
           2020-07-10 13:25:00	18.585	8.507
           2020-07-10 13:35:00	18.678	8.483
           2020-07-10 13:45:00	18.779	8.453
           2020-07-10 13:55:00	18.871	8.432
           2020-07-10 14:05:00	18.905	8.442
           2020-07-10 14:15:00	19.006	8.403
           2020-07-10 14:25:00	19.082	8.387
           2020-07-10 14:35:00	19.158	8.36
           2020-07-10 14:45:00	19.225	8.358
           2020-07-10 14:55:00	19.284	8.338
           2020-07-10 15:05:00	19.343	8.308
           2020-07-10 15:15:00	19.393	8.298
           2020-07-10 15:25:00	19.427	8.277
           2020-07-10 15:35:00	19.469	8.257
           2020-07-10 15:45:00	19.477	8.249
           2020-07-10 15:55:00	19.494	8.227
           2020-07-10 16:05:00	19.502	8.22
           2020-07-10 16:15:00	19.519	8.206
           2020-07-10 16:25:00	19.519	8.2
           2020-07-10 16:35:00	19.536	8.182
           2020-07-10 16:45:00	19.519	8.196
           2020-07-10 16:55:00	19.502	8.204
           2020-07-10 17:05:00	19.519	8.198
           2020-07-10 17:15:00	19.485	8.2
           2020-07-10 17:25:00	19.485	8.191
           2020-07-10 17:35:00	19.494	8.178
           2020-07-10 17:45:00	19.477	8.182
           2020-07-10 17:55:00	19.469	8.171
           2020-07-10 18:05:00	19.452	8.161
           2020-07-10 18:15:00	19.427	8.154
           2020-07-10 18:25:00	19.393	8.161
           2020-07-10 18:35:00	19.376	8.149
           2020-07-10 18:45:00	19.351	8.145
           2020-07-10 18:55:00	19.309	8.147
           2020-07-10 19:05:00	19.275	8.143
           2020-07-10 19:15:00	19.225	8.137
           2020-07-10 19:25:00	19.166	8.136
           2020-07-10 19:35:00	19.132	8.128
           2020-07-10 19:45:00	19.082	8.143
           2020-07-10 19:55:00	19.031	8.147
