               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-29 11:52:00	16.801	8.856
           2020-07-29 12:02:00	16.767	8.873
           2020-07-29 12:12:00	16.792	8.864
           2020-07-29 12:22:00	16.826	8.865
           2020-07-29 12:32:00	16.903	8.845
           2020-07-29 12:42:00	16.979	8.828
           2020-07-29 12:52:00	17.064	8.81
           2020-07-29 13:02:00	17.157	8.793
           2020-07-29 13:12:00	17.233	8.764
           2020-07-29 13:22:00	17.335	8.754
           2020-07-29 13:32:00	17.394	8.733
           2020-07-29 13:42:00	17.47	8.717
           2020-07-29 13:52:00	17.521	8.695
           2020-07-29 14:02:00	17.639	8.7
           2020-07-29 14:12:00	17.766	8.663
           2020-07-29 14:22:00	17.842	8.663
           2020-07-29 14:32:00	17.876	8.65
           2020-07-29 14:42:00	17.91	8.634
           2020-07-29 14:52:00	17.969	8.616
           2020-07-29 15:02:00	18.011	8.61
           2020-07-29 15:12:00	18.061	8.579
           2020-07-29 15:22:00	18.12	8.563
           2020-07-29 15:32:00	18.154	8.537
           2020-07-29 15:42:00	18.179	8.517
           2020-07-29 15:52:00	18.196	8.517
           2020-07-29 16:02:00	18.238	8.508
           2020-07-29 16:12:00	18.264	8.496
           2020-07-29 16:22:00	18.289	8.479
           2020-07-29 16:32:00	18.339	8.461
           2020-07-29 16:42:00	18.365	8.449
           2020-07-29 16:52:00	18.424	8.441
           2020-07-29 17:02:00	18.441	8.454
           2020-07-29 17:12:00	18.491	8.436
           2020-07-29 17:22:00	18.499	8.43
           2020-07-29 17:32:00	18.542	8.404
           2020-07-29 17:42:00	18.558	8.382
           2020-07-29 17:52:00	18.567	8.384
           2020-07-29 18:02:00	18.558	8.355
           2020-07-29 18:12:00	18.6	8.35
           2020-07-29 18:22:00	18.584	8.343
           2020-07-29 18:32:00	18.567	8.34
           2020-07-29 18:42:00	18.584	8.322
           2020-07-29 18:52:00	18.575	8.311
           2020-07-29 19:02:00	18.542	8.308
           2020-07-29 19:12:00	18.542	8.29
           2020-07-29 19:22:00	18.525	8.297
           2020-07-29 19:32:00	18.499	8.285
           2020-07-29 19:42:00	18.483	8.288
           2020-07-29 19:52:00	18.457	8.282
           2020-07-29 20:02:00	18.432	8.268
           2020-07-29 20:12:00	18.39	8.283
           2020-07-29 20:22:00	18.382	8.268
           2020-07-29 20:32:00	18.331	8.28
           2020-07-29 20:42:00	18.289	8.282
           2020-07-29 20:52:00	18.238	8.291
           2020-07-29 21:02:00	18.171	8.311
           2020-07-29 21:12:00	18.137	8.307
           2020-07-29 21:22:00	18.087	8.331
           2020-07-29 21:32:00	18.053	8.324
           2020-07-29 21:42:00	18.002	8.332
           2020-07-29 21:52:00	17.952	8.345
           2020-07-29 22:02:00	17.901	8.362
           2020-07-29 22:12:00	17.842	8.361
           2020-07-29 22:22:00	17.808	8.361
           2020-07-29 22:32:00	17.724	8.392
           2020-07-29 22:42:00	17.682	8.404
           2020-07-29 22:52:00	17.631	8.409
           2020-07-29 23:02:00	17.589	8.42
           2020-07-29 23:12:00	17.512	8.426
           2020-07-29 23:22:00	17.479	8.432
           2020-07-29 23:32:00	17.428	8.44
           2020-07-29 23:42:00	17.36	8.463
           2020-07-29 23:52:00	17.326	8.467
           2020-07-30 00:02:00	17.267	8.48
           2020-07-30 00:12:00	17.208	8.493
           2020-07-30 00:22:00	17.157	8.503
           2020-07-30 00:32:00	17.098	8.513
           2020-07-30 00:42:00	17.047	8.525
           2020-07-30 00:52:00	17.004	8.536
           2020-07-30 01:02:00	16.936	8.551
           2020-07-30 01:12:00	16.886	8.554
           2020-07-30 01:22:00	16.826	8.57
           2020-07-30 01:32:00	16.801	8.576
           2020-07-30 01:42:00	16.741	8.582
           2020-07-30 01:52:00	16.707	8.586
           2020-07-30 02:02:00	16.648	8.611
           2020-07-30 02:12:00	16.588	8.613
           2020-07-30 02:22:00	16.563	8.626
           2020-07-30 02:32:00	16.529	8.633
           2020-07-30 02:42:00	16.478	8.634
           2020-07-30 02:52:00	16.444	8.639
           2020-07-30 03:02:00	16.418	8.645
           2020-07-30 03:12:00	16.384	8.672
           2020-07-30 03:22:00	16.324	8.666
           2020-07-30 03:32:00	16.324	8.669
           2020-07-30 03:42:00	16.282	8.68
           2020-07-30 03:52:00	16.239	8.688
           2020-07-30 04:02:00	16.205	8.697
           2020-07-30 04:12:00	16.213	8.687
           2020-07-30 04:22:00	16.171	8.717
           2020-07-30 04:32:00	16.137	8.709
           2020-07-30 04:42:00	16.111	8.726
           2020-07-30 04:52:00	16.068	8.733
           2020-07-30 05:02:00	16.068	8.737
           2020-07-30 05:12:00	16.043	8.731
           2020-07-30 05:22:00	16.017	8.739
           2020-07-30 05:32:00	16.009	8.738
           2020-07-30 05:42:00	15.983	8.747
           2020-07-30 05:52:00	15.966	8.753
           2020-07-30 06:02:00	15.915	8.769
           2020-07-30 06:12:00	15.923	8.77
           2020-07-30 06:22:00	15.915	8.784
           2020-07-30 06:32:00	15.898	8.794
           2020-07-30 06:42:00	15.881	8.804
           2020-07-30 06:52:00	15.881	8.794
           2020-07-30 07:02:00	15.872	8.802
           2020-07-30 07:12:00	15.855	8.821
           2020-07-30 07:22:00	15.872	8.827
           2020-07-30 07:32:00	15.889	8.829
           2020-07-30 07:42:00	15.889	8.832
           2020-07-30 07:52:00	15.915	8.82
           2020-07-30 08:02:00	15.915	8.851
           2020-07-30 08:12:00	15.923	8.839
           2020-07-30 08:22:00	15.923	8.838
           2020-07-30 08:32:00	15.949	8.844
           2020-07-30 08:42:00	15.957	8.841
           2020-07-30 08:52:00	15.975	8.856
           2020-07-30 09:02:00	16.026	8.852
           2020-07-30 09:12:00	16.043	8.87
           2020-07-30 09:22:00	16.06	8.884
           2020-07-30 09:32:00	16.086	8.884
           2020-07-30 09:42:00	16.154	8.891
           2020-07-30 09:52:00	16.179	8.889
           2020-07-30 10:02:00	16.222	8.886
           2020-07-30 10:12:00	16.222	8.895
           2020-07-30 10:22:00	16.273	8.899
           2020-07-30 10:32:00	16.29	8.898
           2020-07-30 10:42:00	16.333	8.877
           2020-07-30 10:52:00	16.375	8.891
           2020-07-30 11:02:00	16.426	8.892
           2020-07-30 11:12:00	16.469	8.875
           2020-07-30 11:22:00	16.503	8.851
           2020-07-30 11:32:00	16.563	8.862
           2020-07-30 11:42:00	16.597	8.852
           2020-07-30 11:52:00	16.656	8.845
           2020-07-30 12:02:00	16.699	8.835
           2020-07-30 12:12:00	16.767	8.826
