               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-10 13:38:00	18.463	8.637
           2020-07-10 13:48:00	18.48	8.634
           2020-07-10 13:58:00	18.505	8.623
           2020-07-10 14:08:00	18.556	8.604
           2020-07-10 14:18:00	18.573	8.601
           2020-07-10 14:28:00	18.615	8.596
           2020-07-10 14:38:00	18.657	8.59
           2020-07-10 14:48:00	18.707	8.572
           2020-07-10 14:58:00	18.749	8.554
           2020-07-10 15:08:00	18.775	8.544
           2020-07-10 15:18:00	18.791	8.556
           2020-07-10 15:28:00	18.842	8.535
           2020-07-10 15:38:00	18.867	8.534
           2020-07-10 15:48:00	18.884	8.524
           2020-07-10 15:58:00	18.909	8.516
           2020-07-10 16:08:00	18.926	8.512
           2020-07-10 16:18:00	18.96	8.497
           2020-07-10 16:28:00	19.002	8.483
           2020-07-10 16:38:00	19.018	8.473
           2020-07-10 16:48:00	19.035	8.458
           2020-07-10 16:58:00	19.027	8.457
           2020-07-10 17:08:00	19.052	8.44
           2020-07-10 17:18:00	19.044	8.426
           2020-07-10 17:28:00	19.077	8.419
           2020-07-10 17:38:00	19.077	8.403
           2020-07-10 17:48:00	19.094	8.385
           2020-07-10 17:58:00	19.111	8.393
           2020-07-10 18:08:00	19.102	8.382
           2020-07-10 18:18:00	19.119	8.361
           2020-07-10 18:28:00	19.136	8.346
           2020-07-10 18:38:00	19.144	8.332
           2020-07-10 18:48:00	19.119	8.34
           2020-07-10 18:58:00	19.102	8.326
           2020-07-10 19:08:00	19.086	8.306
           2020-07-10 19:18:00	19.069	8.289
           2020-07-10 19:28:00	19.094	8.28
           2020-07-10 19:38:00	19.044	8.278
           2020-07-10 19:48:00	19.052	8.26
           2020-07-10 19:58:00	19.044	8.259
           2020-07-10 20:08:00	19.018	8.246
           2020-07-10 20:18:00	18.993	8.233
           2020-07-10 20:28:00	18.985	8.226
           2020-07-10 20:38:00	18.985	8.217
           2020-07-10 20:48:00	18.96	8.205
           2020-07-10 20:58:00	18.909	8.219
           2020-07-10 21:08:00	18.918	8.201
           2020-07-10 21:18:00	18.875	8.223
           2020-07-10 21:28:00	18.859	8.213
           2020-07-10 21:38:00	18.859	8.205
           2020-07-10 21:48:00	18.825	8.213
           2020-07-10 21:58:00	18.8	8.214
           2020-07-10 22:08:00	18.758	8.224
           2020-07-10 22:18:00	18.766	8.218
           2020-07-10 22:28:00	18.732	8.224
           2020-07-10 22:38:00	18.682	8.24
           2020-07-10 22:48:00	18.674	8.222
           2020-07-10 22:58:00	18.648	8.216
           2020-07-10 23:08:00	18.623	8.232
           2020-07-10 23:18:00	18.606	8.229
           2020-07-10 23:28:00	18.573	8.223
           2020-07-10 23:38:00	18.547	8.229
           2020-07-10 23:48:00	18.522	8.238
           2020-07-10 23:58:00	18.505	8.229
           2020-07-11 00:08:00	18.463	8.234
           2020-07-11 00:18:00	18.455	8.24
           2020-07-11 00:28:00	18.429	8.239
           2020-07-11 00:38:00	18.379	8.24
           2020-07-11 00:48:00	18.345	8.253
           2020-07-11 00:58:00	18.32	8.247
           2020-07-11 01:08:00	18.295	8.26
           2020-07-11 01:18:00	18.278	8.256
           2020-07-11 01:28:00	18.244	8.251
           2020-07-11 01:38:00	18.21	8.27
           2020-07-11 01:48:00	18.185	8.27
           2020-07-11 01:58:00	18.16	8.282
           2020-07-11 02:08:00	18.126	8.277
           2020-07-11 02:18:00	18.101	8.29
           2020-07-11 02:28:00	18.042	8.305
           2020-07-11 02:38:00	17.999	8.303
           2020-07-11 02:48:00	17.991	8.299
           2020-07-11 02:58:00	17.966	8.313
           2020-07-11 03:08:00	17.915	8.328
           2020-07-11 03:18:00	17.864	8.342
           2020-07-11 03:28:00	17.848	8.349
           2020-07-11 03:38:00	17.822	8.357
           2020-07-11 03:48:00	17.772	8.357
           2020-07-11 03:58:00	17.772	8.366
           2020-07-11 04:08:00	17.721	8.377
           2020-07-11 04:18:00	17.687	8.393
           2020-07-11 04:28:00	17.67	8.395
           2020-07-11 04:38:00	17.636	8.416
           2020-07-11 04:48:00	17.619	8.412
           2020-07-11 04:58:00	17.594	8.416
           2020-07-11 05:08:00	17.569	8.431
           2020-07-11 05:18:00	17.552	8.436
           2020-07-11 05:28:00	17.509	8.445
           2020-07-11 05:38:00	17.476	8.47
           2020-07-11 05:48:00	17.459	8.468
           2020-07-11 05:58:00	17.442	8.486
           2020-07-11 06:08:00	17.433	8.488
           2020-07-11 06:18:00	17.408	8.506
           2020-07-11 06:28:00	17.416	8.526
           2020-07-11 06:38:00	17.391	8.547
           2020-07-11 06:48:00	17.399	8.556
           2020-07-11 06:58:00	17.408	8.58
           2020-07-11 07:08:00	17.433	8.588
           2020-07-11 07:18:00	17.433	8.617
           2020-07-11 07:28:00	17.459	8.629
           2020-07-11 07:38:00	17.459	8.669
           2020-07-11 07:48:00	17.509	8.666
           2020-07-11 07:58:00	17.543	8.689
           2020-07-11 08:08:00	17.535	8.709
           2020-07-11 08:18:00	17.594	8.717
           2020-07-11 08:28:00	17.594	8.742
           2020-07-11 08:38:00	17.653	8.738
           2020-07-11 08:48:00	17.67	8.753
           2020-07-11 08:58:00	17.695	8.753
           2020-07-11 09:08:00	17.721	8.765
           2020-07-11 09:18:00	17.755	8.765
           2020-07-11 09:28:00	17.772	8.773
           2020-07-11 09:38:00	17.822	8.773
           2020-07-11 09:48:00	17.848	8.767
           2020-07-11 09:58:00	17.873	8.786
           2020-07-11 10:08:00	17.915	8.787
           2020-07-11 10:18:00	17.94	8.782
           2020-07-11 10:28:00	17.991	8.776
           2020-07-11 10:38:00	18.025	8.774
           2020-07-11 10:48:00	18.067	8.751
           2020-07-11 10:58:00	18.092	8.751
           2020-07-11 11:08:00	18.143	8.744
           2020-07-11 11:18:00	18.16	8.753
           2020-07-11 11:28:00	18.185	8.732
           2020-07-11 11:38:00	18.219	8.738
           2020-07-11 11:48:00	18.278	8.725
           2020-07-11 11:58:00	18.303	8.723
           2020-07-11 12:08:00	18.37	8.703
           2020-07-11 12:18:00	18.413	8.696
           2020-07-11 12:28:00	18.446	8.677
           2020-07-11 12:38:00	18.463	8.671
           2020-07-11 12:48:00	18.514	8.665
           2020-07-11 12:58:00	18.556	8.638
           2020-07-11 13:08:00	18.589	8.629
           2020-07-11 13:18:00	18.64	8.618
           2020-07-11 13:28:00	18.674	8.605
           2020-07-11 13:38:00	18.732	8.584
           2020-07-11 13:48:00	18.758	8.579
           2020-07-11 13:58:00	18.817	8.553
           2020-07-11 14:08:00	18.833	8.551
           2020-07-11 14:18:00	18.867	8.546
           2020-07-11 14:28:00	18.918	8.531
           2020-07-11 14:38:00	18.985	8.517
           2020-07-11 14:48:00	18.993	8.521
           2020-07-11 14:58:00	19.027	8.524
           2020-07-11 15:08:00	19.077	8.497
           2020-07-11 15:18:00	19.119	8.496
           2020-07-11 15:28:00	19.144	8.485
