               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-10-14 11:51:00	12.691	9.809
           2020-10-14 12:01:00	12.673	9.766
           2020-10-14 12:11:00	12.691	9.833
           2020-10-14 12:21:00	12.752	9.858
           2020-10-14 12:31:00	12.805	9.857
           2020-10-14 12:41:00	12.752	9.673
           2020-10-14 12:51:00	12.779	9.782
           2020-10-14 13:01:00	12.77	9.755
           2020-10-14 13:11:00	12.735	9.723
           2020-10-14 13:21:00	12.752	9.772
           2020-10-14 13:31:00	12.717	9.678
           2020-10-14 13:41:00	12.726	9.625
           2020-10-14 13:51:00	12.682	9.55
           2020-10-14 14:01:00	12.664	9.437
           2020-10-14 14:11:00	12.664	9.367
           2020-10-14 14:21:00	12.664	9.438
           2020-10-14 14:31:00	12.664	9.533
           2020-10-14 14:41:00	12.673	9.538
           2020-10-14 14:51:00	12.691	9.566
           2020-10-14 15:01:00	12.691	9.591
           2020-10-14 15:11:00	12.691	9.624
           2020-10-14 15:21:00	12.699	9.633
           2020-10-14 15:31:00	12.735	9.666
           2020-10-14 15:41:00	12.814	9.699
           2020-10-14 15:51:00	12.849	9.675
           2020-10-14 16:01:00	12.849	9.631
           2020-10-14 16:11:00	12.832	9.58
           2020-10-14 16:21:00	12.805	9.532
           2020-10-14 16:31:00	12.788	9.49
           2020-10-14 16:41:00	12.761	9.462
           2020-10-14 16:51:00	12.726	9.426
           2020-10-14 17:01:00	12.708	9.383
           2020-10-14 17:11:00	12.708	9.346
           2020-10-14 17:21:00	12.726	9.379
           2020-10-14 17:31:00	12.726	9.347
           2020-10-14 17:41:00	12.726	9.324
           2020-10-14 17:51:00	12.708	9.255
           2020-10-14 18:01:00	12.691	9.211
           2020-10-14 18:11:00	12.691	9.169
           2020-10-14 18:21:00	12.655	9.148
           2020-10-14 18:31:00	12.638	9.139
           2020-10-14 18:41:00	12.594	9.136
           2020-10-14 18:51:00	12.611	9.119
           2020-10-14 19:01:00	12.576	9.121
           2020-10-14 19:11:00	12.567	9.115
           2020-10-14 19:21:00	12.567	9.116
           2020-10-14 19:31:00	12.585	9.11
           2020-10-14 19:41:00	12.567	9.114
           2020-10-14 19:51:00	12.532	9.113
           2020-10-14 20:01:00	12.505	9.109
           2020-10-14 20:11:00	12.497	9.103
           2020-10-14 20:21:00	12.461	9.114
           2020-10-14 20:31:00	12.443	9.119
           2020-10-14 20:41:00	12.443	9.111
           2020-10-14 20:51:00	12.408	9.11
           2020-10-14 21:01:00	12.39	9.121
           2020-10-14 21:11:00	12.373	9.125
           2020-10-14 21:21:00	12.364	9.13
           2020-10-14 21:31:00	12.346	9.138
           2020-10-14 21:41:00	12.337	9.129
           2020-10-14 21:51:00	12.311	9.133
           2020-10-14 22:01:00	12.284	9.134
           2020-10-14 22:11:00	12.266	9.144
           2020-10-14 22:21:00	12.249	9.136
           2020-10-14 22:31:00	12.231	9.147
           2020-10-14 22:41:00	12.196	9.156
           2020-10-14 22:51:00	12.196	9.154
           2020-10-14 23:01:00	12.187	9.155
           2020-10-14 23:11:00	12.196	9.152
           2020-10-14 23:21:00	12.16	9.161
           2020-10-14 23:31:00	12.142	9.16
           2020-10-14 23:41:00	12.142	9.167
           2020-10-14 23:51:00	12.133	9.161
           2020-10-15 00:01:00	12.116	9.163
           2020-10-15 00:11:00	12.071	9.189
           2020-10-15 00:21:00	12.071	9.17
           2020-10-15 00:31:00	12.054	9.184
           2020-10-15 00:41:00	12.071	9.172
           2020-10-15 00:51:00	12.054	9.185
           2020-10-15 01:01:00	12.027	9.195
           2020-10-15 01:11:00	12.036	9.189
           2020-10-15 01:21:00	12.018	9.185
           2020-10-15 01:31:00	12	9.189
           2020-10-15 01:41:00	11.982	9.197
           2020-10-15 01:51:00	11.974	9.203
           2020-10-15 02:01:00	11.956	9.203
           2020-10-15 02:11:00	11.956	9.204
           2020-10-15 02:21:00	11.929	9.212
           2020-10-15 02:31:00	11.911	9.214
           2020-10-15 02:41:00	11.902	9.218
           2020-10-15 02:51:00	11.893	9.212
           2020-10-15 03:01:00	11.893	9.212
           2020-10-15 03:11:00	11.867	9.23
           2020-10-15 03:21:00	11.867	9.223
           2020-10-15 03:31:00	11.849	9.229
           2020-10-15 03:41:00	11.831	9.226
           2020-10-15 03:51:00	11.831	9.23
           2020-10-15 04:01:00	11.813	9.24
           2020-10-15 04:11:00	11.787	9.242
           2020-10-15 04:21:00	11.795	9.229
           2020-10-15 04:31:00	11.769	9.241
           2020-10-15 04:41:00	11.778	9.238
           2020-10-15 04:51:00	11.769	9.246
           2020-10-15 05:01:00	11.751	9.249
