               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-07-13 15:00:00	24.118	7.766
           2020-07-13 15:10:00	23.908	7.556
           2020-07-13 15:20:00	23.774	7.363
           2020-07-13 15:30:00	23.715	7.158
           2020-07-13 15:40:00	23.657	6.927
           2020-07-13 15:50:00	23.623	6.712
           2020-07-13 16:00:00	23.598	6.491
           2020-07-13 16:10:00	23.556	6.299
           2020-07-13 16:20:00	23.523	6.144
           2020-07-13 16:30:00	23.514	5.99
           2020-07-13 16:40:00	23.472	5.856
           2020-07-13 16:50:00	23.43	5.725
           2020-07-13 17:00:00	23.414	5.589
           2020-07-13 17:10:00	23.363	5.471
           2020-07-13 17:20:00	23.313	5.367
           2020-07-13 17:30:00	23.305	5.26
           2020-07-13 17:40:00	23.263	5.179
           2020-07-13 17:50:00	23.238	5.118
           2020-07-13 18:00:00	23.23	5.007
           2020-07-13 18:10:00	23.204	4.908
           2020-07-13 18:20:00	23.179	4.791
           2020-07-13 18:30:00	23.146	4.656
           2020-07-13 18:40:00	23.146	4.617
           2020-07-13 18:50:00	23.137	4.566
           2020-07-13 19:00:00	23.087	4.468
           2020-07-13 19:10:00	23.071	4.387
           2020-07-13 19:20:00	23.071	4.318
           2020-07-13 19:30:00	23.054	4.256
           2020-07-13 19:40:00	23.062	4.175
           2020-07-13 19:50:00	23.037	4.129
           2020-07-13 20:00:00	23.037	4.109
           2020-07-13 20:10:00	23.062	4.09
           2020-07-13 20:20:00	23.045	4.071
           2020-07-13 20:30:00	23.029	4.022
           2020-07-13 20:40:00	23.012	3.999
           2020-07-13 20:50:00	23.012	3.941
           2020-07-13 21:00:00	22.962	3.876
           2020-07-13 21:10:00	22.928	3.827
           2020-07-13 21:20:00	22.878	3.718
           2020-07-13 21:30:00	22.828	3.616
           2020-07-13 21:40:00	22.761	3.475
           2020-07-13 21:50:00	22.702	3.298
           2020-07-13 22:00:00	22.644	3.158
           2020-07-13 22:10:00	22.594	3.031
           2020-07-13 22:20:00	22.519	2.938
           2020-07-13 22:30:00	22.452	2.89
           2020-07-13 22:40:00	22.401	2.933
           2020-07-13 22:50:00	22.318	2.945
           2020-07-13 23:00:00	22.226	2.978
           2020-07-13 23:10:00	22.109	3.012
           2020-07-13 23:20:00	22.009	3.108
           2020-07-13 23:30:00	21.975	3.185
           2020-07-13 23:40:00	21.883	3.249
           2020-07-13 23:50:00	21.842	3.313
           2020-07-14 00:00:00	21.75	3.4
           2020-07-14 00:10:00	21.691	3.441
           2020-07-14 00:20:00	21.608	3.509
           2020-07-14 00:30:00	21.516	3.613
           2020-07-14 00:40:00	21.457	3.712
           2020-07-14 00:50:00	21.39	3.792
           2020-07-14 01:00:00	21.298	3.862
           2020-07-14 01:10:00	21.231	3.914
           2020-07-14 01:20:00	21.165	3.951
           2020-07-14 01:30:00	21.114	3.966
           2020-07-14 01:40:00	21.023	3.947
           2020-07-14 01:50:00	20.956	3.939
           2020-07-14 02:00:00	20.889	3.99
           2020-07-14 02:10:00	20.83	4.088
           2020-07-14 02:20:00	20.747	4.296
           2020-07-14 02:30:00	20.705	4.498
           2020-07-14 02:40:00	20.671	4.687
           2020-07-14 02:50:00	20.63	4.838
           2020-07-14 03:00:00	20.613	4.953
           2020-07-14 03:10:00	20.63	5.03
           2020-07-14 03:20:00	20.63	5.041
           2020-07-14 03:30:00	20.613	5.029
           2020-07-14 03:40:00	20.613	4.974
           2020-07-14 03:50:00	20.571	4.928
           2020-07-14 04:00:00	20.529	4.931
           2020-07-14 04:10:00	20.471	4.98
           2020-07-14 04:20:00	20.412	5.057
           2020-07-14 04:30:00	20.329	5.143
           2020-07-14 04:40:00	20.245	5.224
           2020-07-14 04:50:00	20.136	5.299
           2020-07-14 05:00:00	20.078	5.399
           2020-07-14 05:10:00	20.011	5.494
           2020-07-14 05:20:00	19.919	5.586
           2020-07-14 05:30:00	19.835	5.673
           2020-07-14 05:40:00	19.793	5.741
           2020-07-14 05:50:00	19.743	5.807
           2020-07-14 06:00:00	19.692	5.869
           2020-07-14 06:10:00	19.642	5.926
           2020-07-14 06:20:00	19.575	5.963
           2020-07-14 06:30:00	19.558	5.994
           2020-07-14 06:40:00	19.516	6.042
           2020-07-14 06:50:00	19.508	6.08
           2020-07-14 07:00:00	19.491	6.137
           2020-07-14 07:10:00	19.449	6.217
           2020-07-14 07:20:00	19.449	6.298
           2020-07-14 07:30:00	19.424	6.373
           2020-07-14 07:40:00	19.424	6.457
           2020-07-14 07:50:00	19.433	6.495
           2020-07-14 08:00:00	19.433	6.506
