               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-08-03 09:35:00	20.635	8.789
           2020-08-03 09:45:00	20.669	8.79
           2020-08-03 09:55:00	20.694	8.808
           2020-08-03 10:05:00	20.753	8.808
           2020-08-03 10:15:00	20.836	8.817
           2020-08-03 10:25:00	20.87	8.829
           2020-08-03 10:35:00	20.945	8.814
           2020-08-03 10:45:00	21.02	8.82
           2020-08-03 10:55:00	21.07	8.814
           2020-08-03 11:05:00	21.162	8.806
           2020-08-03 11:15:00	21.213	8.828
           2020-08-03 11:25:00	21.263	8.811
           2020-08-03 11:35:00	21.338	8.813
           2020-08-03 11:45:00	21.405	8.812
           2020-08-03 11:55:00	21.48	8.813
           2020-08-03 12:05:00	21.555	8.82
           2020-08-03 12:15:00	21.614	8.814
           2020-08-03 12:25:00	21.681	8.803
           2020-08-03 12:35:00	21.748	8.807
           2020-08-03 12:45:00	21.798	8.806
           2020-08-03 12:55:00	21.873	8.807
           2020-08-03 13:05:00	21.94	8.801
           2020-08-03 13:15:00	21.99	8.785
           2020-08-03 13:25:00	22.049	8.772
           2020-08-03 13:35:00	22.116	8.788
           2020-08-03 13:45:00	22.158	8.785
           2020-08-03 13:55:00	22.208	8.786
           2020-08-03 14:05:00	22.283	8.781
           2020-08-03 14:15:00	22.342	8.777
           2020-08-03 14:25:00	22.375	8.786
           2020-08-03 14:35:00	22.392	8.788
           2020-08-03 14:45:00	22.442	8.784
           2020-08-03 14:55:00	22.467	8.779
           2020-08-03 15:05:00	22.526	8.791
           2020-08-03 15:15:00	22.567	8.777
           2020-08-03 15:25:00	22.584	8.774
           2020-08-03 15:35:00	22.609	8.773
           2020-08-03 15:45:00	22.634	8.754
           2020-08-03 15:55:00	22.651	8.768
           2020-08-03 16:05:00	22.668	8.767
           2020-08-03 16:15:00	22.668	8.769
           2020-08-03 16:25:00	22.701	8.754
           2020-08-03 16:35:00	22.71	8.75
           2020-08-03 16:45:00	22.685	8.745
           2020-08-03 16:55:00	22.701	8.723
           2020-08-03 17:05:00	22.685	8.7
           2020-08-03 17:15:00	22.634	8.698
           2020-08-03 17:25:00	22.584	8.672
           2020-08-03 17:35:00	22.517	8.621
           2020-08-03 17:45:00	22.459	8.59
           2020-08-03 17:55:00	22.4	8.583
           2020-08-03 18:05:00	22.342	8.567
           2020-08-03 18:15:00	22.3	8.541
           2020-08-03 18:25:00	22.25	8.511
           2020-08-03 18:35:00	22.224	8.507
           2020-08-03 18:45:00	22.191	8.492
           2020-08-03 18:55:00	22.141	8.497
           2020-08-03 19:05:00	22.082	8.499
           2020-08-03 19:15:00	22.057	8.505
           2020-08-03 19:25:00	22.015	8.485
           2020-08-03 19:35:00	21.999	8.48
           2020-08-03 19:45:00	21.965	8.457
           2020-08-03 19:55:00	21.907	8.442
           2020-08-03 20:05:00	21.882	8.431
           2020-08-03 20:15:00	21.831	8.412
           2020-08-03 20:25:00	21.798	8.417
           2020-08-03 20:35:00	21.765	8.402
           2020-08-03 20:45:00	21.731	8.405
           2020-08-03 20:55:00	21.698	8.409
           2020-08-03 21:05:00	21.656	8.407
           2020-08-03 21:15:00	21.631	8.397
           2020-08-03 21:25:00	21.581	8.398
           2020-08-03 21:35:00	21.547	8.401
           2020-08-03 21:45:00	21.547	8.381
           2020-08-03 21:55:00	21.505	8.376
           2020-08-03 22:05:00	21.472	8.377
           2020-08-03 22:15:00	21.455	8.381
           2020-08-03 22:25:00	21.413	8.385
           2020-08-03 22:35:00	21.388	8.371
           2020-08-03 22:45:00	21.355	8.373
           2020-08-03 22:55:00	21.33	8.361
           2020-08-03 23:05:00	21.305	8.374
           2020-08-03 23:15:00	21.254	8.392
           2020-08-03 23:25:00	21.246	8.376
           2020-08-03 23:35:00	21.221	8.375
           2020-08-03 23:45:00	21.196	8.373
           2020-08-03 23:55:00	21.162	8.376
           2020-08-04 00:05:00	21.129	8.375
           2020-08-04 00:15:00	21.096	8.374
           2020-08-04 00:25:00	21.054	8.376
           2020-08-04 00:35:00	21.045	8.378
           2020-08-04 00:45:00	21.004	8.361
           2020-08-04 00:55:00	20.978	8.369
