               UTC_Date_&_Time	   Temperature	  Dissolved Oxygen
           2020-08-03 11:17:00	20.739	8.554
           2020-08-03 11:27:00	20.814	8.552
           2020-08-03 11:37:00	20.906	8.548
           2020-08-03 11:47:00	20.973	8.545
           2020-08-03 11:57:00	21.074	8.547
           2020-08-03 12:07:00	21.166	8.515
           2020-08-03 12:17:00	21.249	8.5
           2020-08-03 12:27:00	21.35	8.52
           2020-08-03 12:37:00	21.425	8.477
           2020-08-03 12:47:00	21.55	8.484
           2020-08-03 12:57:00	21.626	8.46
           2020-08-03 13:07:00	21.709	8.45
           2020-08-03 13:17:00	21.793	8.425
           2020-08-03 13:27:00	21.876	8.427
           2020-08-03 13:37:00	21.96	8.413
           2020-08-03 13:47:00	22.035	8.372
           2020-08-03 13:57:00	22.111	8.37
           2020-08-03 14:07:00	22.219	8.376
           2020-08-03 14:17:00	22.328	8.344
           2020-08-03 14:27:00	22.663	8.376
           2020-08-03 14:37:00	22.864	8.339
           2020-08-03 14:47:00	22.989	8.297
           2020-08-03 14:57:00	23.048	8.347
           2020-08-03 15:07:00	23.106	8.357
           2020-08-03 15:17:00	23.131	8.358
           2020-08-03 15:27:00	23.232	8.328
           2020-08-03 15:37:00	23.198	8.269
           2020-08-03 15:47:00	23.173	8.303
           2020-08-03 15:57:00	23.207	8.284
           2020-08-03 16:07:00	23.198	8.279
           2020-08-03 16:17:00	23.165	8.225
           2020-08-03 16:27:00	23.131	8.22
           2020-08-03 16:37:00	23.115	8.212
           2020-08-03 16:47:00	23.098	8.172
           2020-08-03 16:57:00	23.006	8.167
           2020-08-03 17:07:00	23.014	8.173
           2020-08-03 17:17:00	22.905	8.152
           2020-08-03 17:27:00	22.788	8.113
           2020-08-03 17:37:00	22.679	8.099
           2020-08-03 17:47:00	22.587	8.065
           2020-08-03 17:57:00	22.445	8.057
           2020-08-03 18:07:00	22.353	8.014
           2020-08-03 18:17:00	22.136	7.966
           2020-08-03 18:27:00	22.044	7.931
           2020-08-03 18:37:00	21.96	7.907
           2020-08-03 18:47:00	21.927	7.896
           2020-08-03 18:57:00	21.876	7.88
           2020-08-03 19:07:00	21.818	7.871
           2020-08-03 19:17:00	21.784	7.878
           2020-08-03 19:27:00	21.734	7.899
           2020-08-03 19:37:00	21.701	7.841
           2020-08-03 19:47:00	21.634	7.821
           2020-08-03 19:57:00	21.592	7.792
           2020-08-03 20:07:00	21.542	7.794
           2020-08-03 20:17:00	21.5	7.794
           2020-08-03 20:27:00	21.458	7.782
           2020-08-03 20:37:00	21.4	7.786
           2020-08-03 20:47:00	21.375	7.793
           2020-08-03 20:57:00	21.324	7.772
           2020-08-03 21:07:00	21.283	7.782
           2020-08-03 21:17:00	21.249	7.763
           2020-08-03 21:27:00	21.216	7.782
           2020-08-03 21:37:00	21.191	7.761
           2020-08-03 21:47:00	21.149	7.785
           2020-08-03 21:57:00	21.107	7.804
           2020-08-03 22:07:00	21.09	7.796
           2020-08-03 22:17:00	21.048	7.788
           2020-08-03 22:27:00	21.023	7.807
           2020-08-03 22:37:00	20.982	7.81
           2020-08-03 22:47:00	20.956	7.825
           2020-08-03 22:57:00	20.931	7.805
           2020-08-03 23:07:00	20.898	7.82
           2020-08-03 23:17:00	20.89	7.822
           2020-08-03 23:27:00	20.864	7.846
           2020-08-03 23:37:00	20.839	7.854
           2020-08-03 23:47:00	20.797	7.844
           2020-08-03 23:57:00	20.772	7.845
           2020-08-04 00:07:00	20.764	7.887
           2020-08-04 00:17:00	20.739	7.864
           2020-08-04 00:27:00	20.705	7.854
           2020-08-04 00:37:00	20.697	7.877
           2020-08-04 00:47:00	20.689	7.883
           2020-08-04 00:57:00	20.639	7.893
           2020-08-04 01:07:00	20.63	7.897
           2020-08-04 01:17:00	20.597	7.857
           2020-08-04 01:27:00	20.563	7.92
           2020-08-04 01:37:00	20.521	7.929
           2020-08-04 01:47:00	20.513	7.918
           2020-08-04 01:57:00	20.488	7.953
           2020-08-04 02:07:00	20.471	7.953
           2020-08-04 02:17:00	20.429	7.951
           2020-08-04 02:27:00	20.421	7.966
           2020-08-04 02:37:00	20.371	7.98
           2020-08-04 02:47:00	20.337	7.964
           2020-08-04 02:57:00	20.32	8.001
           2020-08-04 03:07:00	20.295	7.989
           2020-08-04 03:17:00	20.287	7.981
           2020-08-04 03:27:00	20.245	7.99
           2020-08-04 03:37:00	20.22	7.973
           2020-08-04 03:47:00	20.195	7.987
           2020-08-04 03:57:00	20.17	7.975
           2020-08-04 04:07:00	20.136	8.012
           2020-08-04 04:17:00	20.103	7.996
           2020-08-04 04:27:00	20.086	8.009
           2020-08-04 04:37:00	20.061	7.996
           2020-08-04 04:47:00	20.036	8.003
           2020-08-04 04:57:00	20.011	8.001
           2020-08-04 05:07:00	20.002	7.994
           2020-08-04 05:17:00	19.96	8.043
           2020-08-04 05:27:00	19.918	8.033
           2020-08-04 05:37:00	19.893	8.062
           2020-08-04 05:47:00	19.868	8.066
           2020-08-04 05:57:00	19.818	8.088
           2020-08-04 06:07:00	19.809	8.103
           2020-08-04 06:17:00	19.784	8.128
           2020-08-04 06:27:00	19.751	8.137
           2020-08-04 06:37:00	19.759	8.126
           2020-08-04 06:47:00	19.759	8.143
           2020-08-04 06:57:00	19.7	8.178
           2020-08-04 07:07:00	19.7	8.177
           2020-08-04 07:17:00	19.675	8.217
           2020-08-04 07:27:00	19.659	8.213
           2020-08-04 07:37:00	19.65	8.263
           2020-08-04 07:47:00	19.675	8.247
           2020-08-04 07:57:00	19.692	8.275
           2020-08-04 08:07:00	19.717	8.296
           2020-08-04 08:17:00	19.709	8.325
           2020-08-04 08:27:00	19.751	8.35
           2020-08-04 08:37:00	19.801	8.358
           2020-08-04 08:47:00	19.86	8.342
           2020-08-04 08:57:00	19.885	8.391
           2020-08-04 09:07:00	19.918	8.398
           2020-08-04 09:17:00	20.002	8.381
           2020-08-04 09:27:00	20.044	8.4
           2020-08-04 09:37:00	20.086	8.445
           2020-08-04 09:47:00	20.153	8.44
           2020-08-04 09:57:00	20.203	8.438
           2020-08-04 10:07:00	20.279	8.442
           2020-08-04 10:17:00	20.337	8.45
           2020-08-04 10:27:00	20.396	8.445
           2020-08-04 10:37:00	20.446	8.456
           2020-08-04 10:47:00	20.513	8.478
           2020-08-04 10:57:00	20.588	8.45
           2020-08-04 11:07:00	20.672	8.487
           2020-08-04 11:17:00	20.764	8.487
           2020-08-04 11:27:00	22.487	8.531
